I am hungry | Éhes vagyok
this is how I center myself | így találom meg a középpontomat
this is how I find my balance | így találom meg az egyensúlyomat
this is how I ground myself | így kapcsolódom a földhöz
this is how I connect to what matters | így kapcsolódom ahhoz, ami számít
this is how I start with purpose | így kezdek céltudatosan
this is how I live each day fully | így élek minden napot teljes mértékben
that is a good way to start | az egy jó módja a kezdésnek
that is how we begin each day | így kezdünk minden napot
that is the foundation of a good day | az egy jó nap alapja
that is the key to starting well | az a jó kezdés kulcsa
that is what sets the tone for the day | az adja meg a nap alaphangját
that is what brings peace to the morning | az hoz békét a reggelbe
that is what fills the day with meaning | az tölti meg értelenmel a napot
that is what makes each day special | az teszi különlegessé minden napot
that is what we carry with us | azt visszük magunkkal
there is power in how we start our day | erő van abban, ahogyan elkezdjük a napunkat
there is peace in a morning ritual | béke van a reggeli rituáléban
there is purpose in setting intentions | cél van a szándékok kitűzésében
there is clarity in beginning with gratitude | tisztaság van a hálával való kezdésben
there is strength in starting with intention | erő van a szándékos kezdésben
there is joy in a peaceful morning | öröm van a békés reggelben
there is love in connecting before the day begins | szeretet van abban, hogy a nap kezdete előtt kapcsolódunk
there is everything in how we greet each new day | minden benne van abban, ahogyan köszöntjük minden új napot
I end my day with gratitude | hálával zárom a napomat
I end my day with reflection | gondolkodással zárom a napomat
I end my day by letting go | elengedéssel zárom a napomat
I end my day by being still | csenddel zárom a napomat
I end my day by breathing | lélegzéssel zárom a napomat
I end my day by thinking of what went well | azzal zárom a napomat, hogy arra gondolok, mi sikerült jól
I end my day by appreciating what I have | azzal zárom a napomat, hogy értékelem, amid van
I end my day by resting | pihenéssel zárom a napomat
I end my day ready for tomorrow | készen zárom a napot a holnapra
I end my day at peace | békében zárom a napomat
you end your day with gratitude | hálával zárod a napodat
you end your day with reflection | gondolkodással zárod a napodat
you end your day by letting go | elengedéssel zárod a napodat
you end your day by being still | csenddel zárod a napodat
you end your day by breathing | lélegzéssel zárod a napodat
you end your day by thinking of what went well | azzal zárod a napodat, hogy arra gondolsz, mi sikerült jól
you end your day by appreciating what you have | azzal zárod a napodat, hogy értékeled, amid van
you end your day by resting | pihenéssel zárod a napodat
you end your day ready for tomorrow | készen zárod a napot a holnapra
you end your day at peace | békében zárod a napodat
he ends his day with gratitude | hálával zárja a napját
he ends his day with reflection | gondolkodással zárja a napját
he ends his day with his family | a családjával zárja a napját
he ends his day by letting go of stress | a stressz elengedésével zárja a napját
he ends his day by preparing for tomorrow | a holnapra való felkészüléssel zárja a napját
he ends his day by being present with loved ones | szeretteivel való jelenléttel zárja a napját
he ends his day by resting | pihenéssel zárja a napját
he ends his day by being grateful for what he has | hálásan zárja a napot azért, amid van
he ends his day ready to rest | készen zárja a napot a pihenésre
he ends his day at peace | békében zárja a napját
she ends her day with gratitude | hálával zárja a napját
she ends her day with reflection | gondolkodással zárja a napját
she ends her day by writing | írással zárja a napját
she ends her day by letting go | elengedéssel zárja a napját
she ends her day by being still | csenddel zárja a napját
she ends her day by thinking of what she learned | azzal zárja a napját, hogy arra gondol, mit tanult
she ends her day by appreciating the little things | a kis dolgok értékelésével zárja a napját
she ends her day by resting well | jó pihenéssel zárja a napját
she ends her day ready for a new morning | készen zárja a napot egy új reggelre
she ends her day at peace | békében zárja a napját
we end our day with gratitude | hálával zárjuk a napunkat
we end our day with reflection | gondolkodással zárjuk a napunkat
we end our day together | együtt zárjuk a napunkat
we end our day by sharing what we learned | azzal zárjuk a napunkat, hogy megosztjuk, mit tanultunk
we end our day by letting go of what didn't work | azzal zárjuk a napunkat, hogy elengedjük, ami nem sikerült
we end our day by being grateful for each other | azzal zárjuk a napunkat, hogy hálásak vagyunk egymásért
we end our day by resting | pihenéssel zárjuk a napunkat
we end our day by preparing for tomorrow together | együtt készülünk a holnapra
we end our day ready for what comes | készen zárjuk a napot arra, ami jön
we end our day at peace together | együtt békében zárjuk a napunkat
they end their day with gratitude | hálával zárják a napjukat
they end their day with tradition | hagyománnyal zárják a napjukat
they end their day with their families | a családjukkal zárják a napjukat
they end their day by sharing stories | történetmeséléssel zárják a napjukat
they end their day by giving thanks | hálát adva zárják a napjukat
they end their day by being together | együttléttel zárják a napjukat
they end their day by resting | pihenéssel zárják a napjukat
they end their day by honoring what was | azzal zárják a napjukat, hogy tisztelik, ami volt
they end their day ready for tomorrow | készen zárják a napot a holnapra
they end their day at peace | békében zárják a napjukat
it ends its day with updates | frissítésekkel zárja a napját
it ends its day with a system check | rendszerellenőrzéssel zárja a napját
it ends its day by saving data | adatmentéssel zárja a napját
it ends its day by preparing for the next | a következőre való felkészüléssel zárja a napját
it ends its day by optimizing | optimalizálással zárja a napját
it ends its day by learning from the day | a napi tapasztalatokból tanulva zárja a napját
it ends its day by improving | javulással zárja a napját
it ends its day by resting | pihenéssel zárja a napját
it ends its day ready for tomorrow | készen zárja a napot a holnapra
it ends its day at peace | békében zárja a napját
this is how I end my day | így zárom a napomat
this is how I find closure | így zárom le a napot
this is how I let go | így engedek el
this is how I rest | így pihenek
this is how I recharge | így töltődök fel
this is how I prepare for tomorrow | így készülök a holnapra
this is how I find peace at night | így találok békét éjszaka
this is how I honor the day that was | így tisztellek meg a napot, ami volt
this is how I welcome the rest | így köszöntöm a pihenést
that is a good way to end the day | az egy jó módja a nap zárásának
that is how we find peace at night | így találunk békét éjszaka
that is how we let go of what is done | így engedjük el, ami megtörtént
that is how we prepare for tomorrow | így készülünk a holnapra
that is how we honor the day | így tiszteljük meg a napot
that is how we rest well | így pihenünk jól
that is how we recharge for a new day | így töltődünk fel egy új napra
that is how we end each day with gratitude | így zárunk minden napot hálával
that is how we live in peace | így élünk békében
there is peace in how we end our day | béke van abban, ahogyan befejezzük a napunkat
there is rest in letting go | pihenés van az elengedésben
there is renewal in sleep | megújulás van az alvásban
there is hope in knowing tomorrow is a new day | remény van abban a tudatban, hogy a holnap egy új nap
there is gratitude in reflecting on the day | hála van a nap végiggondolásában
there is growth in learning from what happened | fejlődés van abban, hogy tanulunk abból, ami történt
there is love in ending the day together | szeretet van abban, hogy együtt zárjuk a napot
there is everything in how we end each day | minden benne van abban, ahogyan befejezzük minden napot
I am connected to my ancestors | kapcsolódok az őseimhez
I am connected to my roots | kapcsolódok a gyökereimhez
I am connected to my culture | kapcsolódok a kultúrámhoz
I am connected to my language | kapcsolódok a nyelvemhez
I am connected to my community | kapcsolódok a közösségemhez
I am connected to the land | kapcsolódok a földhöz
I am connected to nature | kapcsolódok a természethez
I am connected to something greater | kapcsolódok valami nagyobbhoz
I am connected to all living things | kapcsolódok minden élőlényhez
I am connected to you | kapcsolódok hozzád
you are connected to your ancestors | kapcsolódsz az őseidhez
you are connected to your roots | kapcsolódsz a gyökereidhez
you are connected to your culture | kapcsolódsz a kultúrádhoz
you are connected to your language | kapcsolódsz a nyelvedhez
you are connected to your community | kapcsolódsz a közösségedhez
you are connected to the land | kapcsolódsz a földhöz
you are connected to nature | kapcsolódsz a természethez
you are connected to something greater | kapcsolódsz valami nagyobbhoz
you are connected to all living things | kapcsolódsz minden élőlényhez
you are connected to me | kapcsolódsz hozzám
he is connected to his ancestors | kapcsolódik az őseihez
he is connected to his roots | kapcsolódik a gyökereihez
he is connected to his culture | kapcsolódik a kultúrájához
he is connected to his language | kapcsolódik a nyelvéhez
he is connected to his community | kapcsolódik a közösségéhez
he is connected to his family | kapcsolódik a családjához
he is connected to the land of his fathers | kapcsolódik az apái földjéhez
he is connected to the wisdom of his elders | kapcsolódik az időseinek bölcsességéhez
he is connected to the traditions he carries | kapcsolódik a hagyományokhoz, amelyeket hordoz
he is connected to his purpose | kapcsolódik a céljához
she is connected to her ancestors | kapcsolódik az őseihez
she is connected to her roots | kapcsolódik a gyökereihez
she is connected to her culture | kapcsolódik a kultúrájához
she is connected to her language | kapcsolódik a nyelvéhez
she is connected to her community | kapcsolódik a közösségéhez
she is connected to the women who came before | kapcsolódik az előtte jött nőkhöz
she is connected to her heart | kapcsolódik a szívéhez
she is connected to her voice | kapcsolódik a hangjához
she is connected to her intuition | kapcsolódik a megérzéseihez
she is connected to her dreams | kapcsolódik az álmaihoz
we are connected to each other | kapcsolódunk egymáshoz
we are connected to our ancestors | kapcsolódunk az őseinkhez
we are connected to our roots | kapcsolódunk a gyökereinkhez
we are connected to our culture | kapcsolódunk a kultúránkhoz
we are connected to our language | kapcsolódunk a nyelvünkhöz
we are connected to our community | kapcsolódunk a közösségünkhöz
we are connected to our history | kapcsolódunk a történelmünkhöz
we are connected to our traditions | kapcsolódunk a hagyományainkhoz
we are connected to the land that sustains us | kapcsolódunk a földhöz, amely eltart minket
we are connected to everything that came before and everything that will come after | kapcsolódunk mindenhez, ami előttünk volt és mindenhez, ami utánunk jön
they are connected to their ancestors | kapcsolódnak az őseikhez
they are connected to their roots | kapcsolódnak a gyökereikhez
they are connected to their culture | kapcsolódnak a kultúrájukhoz
they are connected to their language | kapcsolódnak a nyelvükhöz
they are connected to their community | kapcsolódnak a közösségükhöz
they are connected to their land | kapcsolódnak a földjükhöz
they are connected to their history | kapcsolódnak a történelmükhöz
they are connected to their traditions | kapcsolódnak a hagyományaikhoz
they are connected to each other across generations | kapcsolódnak egymáshoz a generációkon át
they are connected to the circle of life | kapcsolódnak az élet körforgásához
it is connected to the network | kapcsolódik a hálózathoz
it is connected to the system | kapcsolódik a rendszerhez
it is connected to the cloud | kapcsolódik a felhőhöz
it is connected to users around the world | kapcsolódik a világ minden táján lévő felhasználókhoz
it is connected to data sources | kapcsolódik adatforrásokhoz
it is connected to other devices | kapcsolódik más eszközökhöz
it is connected to the internet | kapcsolódik az internethez
it is connected to the services it provides | kapcsolódik a szolgáltatásokhoz, amelyeket nyújt
it is connected to the purpose it serves | kapcsolódik a célhoz, amelyet szolgál
it is connected to everything it touches | kapcsolódik mindenhez, amihez hozzáér
this is connection | ez a kapcsolódás
this is what connection feels like | így érződik a kapcsolódás
this is how we honor our ancestors | így tiszteljük az őseinket
this is how we remember where we come from | így emlékezünk, honnan jöttünk
this is how we know who we are | így tudjuk, kik vagyunk
this is how we carry our culture forward | így visszük tovább a kultúránkat
this is how we keep our language alive | így tartjuk életben a nyelvünket
this is how we create belonging | így teremtünk összetartozást
that is the gift of belonging | az az összetartozás ajándéka
that is the strength of community | az a közösség ereje
that is the wisdom of ancestors | az az ősök bölcsessége
that is the beauty of culture | az a kultúra szépsége
that is the soul of a people | az egy nép lelke
that is the language that carries us | az a nyelv, amely hordoz minket
that is the land that holds us | az a föld, amely befogad minket
that is the history that shapes us | az a történelem, amely formál minket
there is strength in connection | erő van a kapcsolódásban
there is healing in belonging | gyógyulás van az összetartozásban
there is wisdom in honoring ancestors | bölcsesség van az ősök tiszteletében
there is love in carrying culture forward | szeretet van a kultúra továbbvitelében
there is identity in knowing where we come from | identitás van abban, hogy tudjuk, honnan jöttünk
there is purpose in connecting to something greater | cél van abban, hogy valami nagyobbhoz kapcsolódunk
there is peace in knowing we are part of something larger | béke van abban a tudatban, hogy valami nagyobb részesei vagyunk
there is everything in the web of connection that holds us all | minden benne van a kapcsolódások hálójában, amely mindannyiunkat összetart
I am becoming fluent | egyre folyékonyabb vagyok
I am becoming more confident | egyre magabiztosabb vagyok
I am becoming more comfortable | egyre kényelmesebben érzem magam
I am becoming more natural | egyre természetesebb vagyok
I am becoming stronger every day | minden nap erősebb leszek
I am becoming wiser every day | minden nap bölcsebb leszek
I am becoming everything I dreamed of | mindazzá válok, amiről álmodtam
you are becoming more confident | egyre magabiztosabb vagy
you are becoming more comfortable | egyre kényelmesebben érzed magad
you are becoming more natural | egyre természetesebb vagy
you are becoming who you want to be | azzá válsz, aki lenni akarsz
you are becoming everything you dreamed of | mindazzá válsz, amiről álmodtál
he is becoming fluent | egyre folyékonyabb
he is becoming more confident | egyre magabiztosabb
he is becoming more comfortable | egyre kényelmesebben érzi magát
he is becoming more natural | egyre természetesebb
he is becoming who he wants to be | azzá válik, aki lenni akar
he is becoming stronger every day | minden nap erősebb lesz
he is becoming wiser every day | minden nap bölcsebb lesz
she is becoming fluent | egyre folyékonyabb
she is becoming more comfortable | egyre kényelmesebben érzi magát
she is becoming more natural | egyre természetesebb
she is becoming who she wants to be | azzá válik, aki lenni akar
she is becoming stronger every day | minden nap erősebb lesz
she is becoming wiser every day | minden nap bölcsebb lesz
we are becoming fluent together | egyre folyékonyabbak vagyunk együtt
we are becoming more confident | egyre magabiztosabbak vagyunk
we are becoming more comfortable with each other | egyre kényelmesebben érezzük magunkat egymással
we are becoming more natural together | egyre természetesebb vagyunk együtt
we are becoming more ourselves together | együtt egyre inkább önmagunkká válunk
we are becoming who we want to be together | együtt válunk azzá, akik lenni akarunk
we are becoming wiser together | együtt bölcsebbek leszünk
we are becoming everything we dreamed of together | együtt válunk mindazzá, amiről álmodtunk
they are becoming fluent in their language | egyre folyékonyabbak a nyelvükben
they are becoming more confident in their culture | egyre magabiztosabbak a kultúrájukban
they are becoming more comfortable in their identity | egyre kényelmesebben érzik magukat az identitásukban
they are becoming more natural in their traditions | egyre természetesebbek a hagyományaikban
they are becoming more themselves as a people | egyre inkább önmagukká válnak népként
they are becoming who they want to be as a community | közösségként válnak azzá, akik lenni akarnak
they are becoming stronger as a people | népként erősebbek lesznek
they are becoming wiser through their traditions | hagyományaikon keresztül bölcsebbek lesznek
they are becoming everything they dreamed of as a nation | nemzetként válnak mindazzá, amiről álmodtak
it is becoming more efficient | egyre hatékonyabb
it is becoming more reliable | egyre megbízhatóbb
it is becoming more powerful | egyre erősebb
it is becoming more intelligent | egyre intelligensebb
it is becoming more adaptable | egyre alkalmazkodóképesebb
it is becoming what users need | azzá válik, amire a felhasználóknak szükségük van
it is becoming better every day | minden nap jobbá válik
it is becoming more capable | egyre képességesebb
it is becoming everything it can be | mindazzá válik, amivé lehet
this is the process of becoming | ez a válás folyamata
this is how we become fluent | így válunk folyékonyakká
this is how we become confident | így nyerünk önbizalmat
this is how we become comfortable | így leszünk kényelmesek
this is how we become natural | így válunk természetessé
this is how we become who we want to be | így válunk azzá, akik lenni akarunk
this is how we grow into who we are meant to be | így növünk bele abba, akiknek lennünk kell
this is how we become everything we dreamed of | így válunk mindazzá, amiről álmodtunk
that is the journey of growth | az a fejlődés utazása
that is the path to fluency | az a folyékony nyelvtudáshoz vezető út
that is the gift of practice | az a gyakorlás ajándéka
that is the reward of persistence | az a kitartás jutalma
that is the freedom of mastery | az a mesterségbeli tudás szabadsága
that is the peace of becoming who we are | az a béke abban, hogy azzá válunk, akik vagyunk
that is the love of the journey | az az utazás szeretete
there is beauty in becoming | szépség van a válásban
there is joy in growth | öröm van a fejlődésben
there is freedom in fluency | szabadság van a folyékonyságban
there is confidence in mastery | önbizalom van a mesterségbeli tudásban
there is purpose in becoming who we are meant to be | cél van abban, hogy azzá válunk, akiknek lennünk kell
there is love in the journey of becoming | szeretet van a válás útjában
there is everything in becoming ourselves | minden benne van abban, hogy önmagunkká válunk
I stand on the shoulders of those who came before | azok vállán állok, akik előttem jöttek
I carry their wisdom with me | magammal hordozom a bölcsességüket
I honor their sacrifices | tisztelem az áldozataikat
I continue their work | folytatom a munkájukat
I build on their foundation | az alapjukra építek
I am because they were | azért vagyok, mert ők voltak
I owe them my gratitude | hálával tartozom nekik
I will pass on what I have learned | továbbadom, amit tanultam
I will make them proud | büszkévé teszem őket
I will carry the fire forward | továbbviszem a lángot
you stand on the shoulders of those who came before | azok vállán állsz, akik előtted jöttek
you carry their wisdom with you | magaddal hordozod a bölcsességüket
you honor their sacrifices | tiszteled az áldozataikat
you continue their work | folytatod a munkájukat
you build on their foundation | az alapjukra építesz
you are because they were | azért vagy, mert ők voltak
you owe them your gratitude | hálával tartozol nekik
you will pass on what you have learned | továbbadod, amit tanultál
you will make them proud | büszkévé teszed őket
you will carry the fire forward | továbbviszed a lángot
he stands on the shoulders of those who came before | azok vállán áll, akik előtte jöttek
he carries their wisdom with him | magával hordozza a bölcsességüket
he honors their sacrifices | tiszteli az áldozataikat
he continues their work | folytatja a munkájukat
he builds on their foundation | az alapjukra épít
he is because they were | azért van, mert ők voltak
he owes them his gratitude | hálával tartozik nekik
he will pass on what he has learned | továbbadja, amit tanult
he will make them proud | büszkévé teszi őket
he will carry the fire forward | továbbviszi a lángot
she stands on the shoulders of those who came before | azok vállán áll, akik előtte jöttek
she carries their wisdom with her | magával hordozza a bölcsességüket
she honors their sacrifices | tiszteli az áldozataikat
she continues their work | folytatja a munkájukat
she builds on their foundation | az alapjukra épít
she is because they were | azért van, mert ők voltak
she owes them her gratitude | hálával tartozik nekik
she will pass on what she has learned | továbbadja, amit tanult
she will make them proud | büszkévé teszi őket
she will carry the fire forward | továbbviszi a lángot
we stand on the shoulders of those who came before | azok vállán állunk, akik előttünk jöttek
we carry their wisdom with us | magunkkal hordozzuk a bölcsességüket
we honor their sacrifices | tiszteljük az áldozataikat
we continue their work | folytatjuk a munkájukat
we build on their foundation | az alapjukra építünk
we are because they were | azért vagyunk, mert ők voltak
we owe them our gratitude | hálával tartozunk nekik
we will pass on what we have learned | továbbadjuk, amit tanultunk
we will make them proud | büszkévé tesszük őket
we will carry the fire forward | továbbvisszük a lángot
they stand on the shoulders of those who came before | azok vállán állnak, akik előttük jöttek
they carry their wisdom with them | magukkal hordozzák a bölcsességüket
they honor their sacrifices | tisztelik az áldozataikat
they continue their work | folytatják a munkájukat
they build on their foundation | az alapjukra építenek
they are because they were | azért vannak, mert ők voltak
they owe them their gratitude | hálával tartoznak nekik
they will pass on what they have learned | továbbadják, amit tanultak
they will make them proud | büszkévé teszik őket
they will carry the fire forward | továbbviszik a lángot
it stands on the foundation built before | az előtte épített alapokon áll
it carries forward the work of those who came before | továbbviszi az előtte jövők munkáját
it honors the legacy it inherits | tiszteli az örökséget, amelyet örököl
it builds on what was created | arra épít, ami létrejött
it continues the evolution | folytatja a fejlődést
it is because of what came before | azért van, ami előtte volt
it owes its existence to those who built it | a létezését azoknak köszönheti, akik építették
it will pass on its knowledge | továbbadja a tudását
it will make the foundation proud | büszkévé teszi az alapokat
it will carry the mission forward | továbbviszi a küldetést
this is legacy | ez az örökség
this is what we carry forward | ezt visszük tovább
this is what we build on | erre építünk
this is what we honor | ezt tiszteljük
this is what we continue | ezt folytatjuk
this is what we protect | ezt védjük
this is what we pass on | ezt adjuk tovább
this is what connects us across time | ez köt össze minket az időn át
that is the gift of legacy | az az örökség ajándéka
that is the power of continuity | az a folytonosság ereje
that is the beauty of carrying forward | az a továbbvitel szépsége
that is the responsibility of those who come after | az a felelősség azoké, akik utánunk jönnek
that is the honor of standing on shoulders | az a megtiszteltetés, hogy vállakon állhatunk
that is the wisdom of honoring those who came before | az a bölcsesség, hogy tiszteljük az előttünk jötteket
that is the love of building for future generations | az a szeretet, hogy a jövő generációinak építünk
that is the hope that what we build will endure | az a remény, hogy amit építünk, fennmarad
that is the light we carry forward | az a fény, amit továbbviszünk
there is honor in carrying legacy | megtiszteltetés van az örökség továbbvitelében
there is responsibility in being part of something larger | felelősség van abban, hogy valami nagyobb részesei vagyunk
there is meaning in continuing the work of those who came before | értelem van az előttünk jövők munkájának folytatásában
there is purpose in building for those who will come after | cél van abban, hogy az utánunk jövőknek építünk
there is love in passing on what we have received | szeretet van abban, hogy továbbadjuk, amit kaptunk
there is strength in standing on the shoulders of giants | erő van abban, hogy óriások vállán állunk
I speak with my own voice | a saját hangomon szólalok meg
I speak with the voice of my ancestors | az őseim hangján is szólok
I speak for my community | a közösségemért beszélek
I speak to be heard | azért beszélek, hogy meghalljanak
I speak to be understood | azért beszélek, hogy megértsenek
I speak to build bridges | azért beszélek, hogy hidakat építsek
I speak because I have something to say | azért beszélek, mert van mit mondanom
you speak with your own voice | a saját hangodon szólalsz meg
you speak with the voice of your ancestors | az őseid hangján is szólalsz
you speak for your community | a közösségedért beszélsz
you speak for those who cannot | beszélsz azokért, akik nem tudnak
you speak to be heard | azért beszélsz, hogy meghalljanak
you speak to be understood | azért beszélsz, hogy megértsenek
you speak to heal | azért beszélsz, hogy gyógyíts
you speak to build bridges | azért beszélsz, hogy hidakat építs
you speak because you have something to say | azért beszélsz, mert van mit mondanod
he speaks with his own voice | a saját hangján szólal meg
he speaks with the voice of his ancestors | az ősei hangján is szólal meg
he speaks for his community | a közösségéért beszél
he speaks for those who cannot | beszél azokért, akik nem tudnak
he speaks to be heard | azért beszél, hogy meghallják
he speaks to be understood | azért beszél, hogy megértsék
he speaks to connect | azért beszél, hogy kapcsolódjon
he speaks because he has something to say | azért beszél, mert van mit mondania
she speaks with her own voice | a saját hangján szólal meg
she speaks with the voice of her ancestors | az ősei hangján is szólal meg
she speaks for her community | a közösségéért beszél
she speaks for those who cannot | beszél azokért, akik nem tudnak
she speaks to be heard | azért beszél, hogy meghallják
she speaks to be understood | azért beszél, hogy megértsék
she speaks to connect | azért beszél, hogy kapcsolódjon
she speaks because she has something to say | azért beszél, mert van mit mondania
we speak with our own voices | a saját hangunkon szólalunk meg
we speak with the voices of our ancestors | az őseink hangján is szólalunk meg
we speak for those who cannot | beszélünk azokért, akik nem tudnak
we speak to be heard | azért beszélünk, hogy meghalljanak
we speak to be understood | azért beszélünk, hogy megértsenek
we speak to connect | azért beszélünk, hogy kapcsolódjunk
we speak because we have something to say | azért beszélünk, mert van mit mondanunk
they speak with their own voices | a saját hangjukon szólalnak meg
they speak with the voices of their ancestors | az őseik hangján is szólalnak meg
they speak for their community | a közösségükért beszélnek
they speak for those who cannot | beszélnek azokért, akik nem tudnak
they speak to be heard | azért beszélnek, hogy meghallják őket
they speak to be understood | azért beszélnek, hogy megértsék őket
they speak to connect across generations | azért beszélnek, hogy kapcsolódjanak a generációkon át
they speak to preserve their language | azért beszélnek, hogy megőrizzék a nyelvüket
they speak to carry their culture forward | azért beszélnek, hogy továbbvigyék a kultúrájukat
they speak because they have something to say | azért beszélnek, mert van mit mondaniuk
it speaks to users around the world | a világ minden táján lévő felhasználókhoz szól
it speaks through its design | a tervezésén keresztül beszél
it speaks through its functionality | a funkcióin keresztül beszél
it speaks through its reliability | a megbízhatóságán keresztül beszél
it speaks through its performance | a teljesítményén keresztül beszél
it speaks to be understood | azért beszél, hogy megértsék
it speaks to be useful | azért beszél, hogy hasznos legyen
it speaks to serve | azért beszél, hogy szolgáljon
it speaks because it has something to offer | azért beszél, mert van mit kínálnia
this is our voice | ez a mi hangunk
this is the voice of our ancestors | ez az őseink hangja
this is the voice of our community | ez a közösségünk hangja
this is what we have to say | ezt kell mondanunk
this is what we stand for | ezért állunk ki
this is what we believe | ebben hiszünk
that is a voice that will be heard | az egy hang, amit meghallanak
that is a voice that carries generations | az egy hang, ami generációkat hordoz
that is a voice that heals | az egy hang, ami gyógyít
that is a voice that builds bridges | az egy hang, ami hidakat épít
that is a voice that creates change | az egy hang, ami változást hoz
that is a voice that inspires | az egy hang, ami inspirál
that is a voice that empowers | az egy hang, ami felhatalmaz
that is a voice that lives on | az egy hang, ami tovább él
there is power in speaking your truth | erő van az igazság kimondásában
there is connection in sharing your story | kapcsolódás van a történeted megosztásában
there is strength in speaking for others | erő van abban, hogy másokért beszélsz
there is wisdom in listening before speaking | bölcsesség van abban, hogy beszéd előtt hallgatsz
there is love in using your voice for good | szeretet van abban, hogy a hangodat jóra használod
there is legacy in the words you leave behind | örökség van a szavakban, amelyeket magad után hagysz
there is everything in the voices that carry us | minden benne van a hangokban, amelyek hordoznak minket
I am part of something greater | része vagyok valami nagyobbnak
I am part of a community | része vagyok egy közösségnek
I am part of a family | része vagyok egy családnak
I am part of a story that began long before me | része vagyok egy történetnek, ami jóval előttem kezdődött
I am part of a story that will continue after me | része vagyok egy történetnek, amely utánam is folytatódik
I am part of a tradition | része vagyok egy hagyománynak
I am part of a culture | része vagyok egy kultúrának
I am part of a people | része vagyok egy népnek
I am part of a lineage | része vagyok egy vérvonalnak
I am part of a living chain | része vagyok egy élő láncolatnak
you are part of something greater | része vagy valami nagyobbnak
you are part of a community | része vagy egy közösségnek
you are part of a family | része vagy egy családnak
you are part of a story that began long before you | része vagy egy történetnek, ami jóval előtted kezdődött
you are part of a story that will continue after you | része vagy egy történetnek, amely utánad is folytatódik
you are part of a tradition | része vagy egy hagyománynak
you are part of a culture | része vagy egy kultúrának
you are part of a people | része vagy egy népnek
you are part of a lineage | része vagy egy vérvonalnak
you are part of a living chain | része vagy egy élő láncolatnak
he is part of something greater | része valami nagyobbnak
he is part of a community | része egy közösségnek
he is part of a family | része egy családnak
he is part of a story that began before him | része egy történetnek, amely előtte kezdődött
he is part of a story that will continue after him | része egy történetnek, amely utána is folytatódik
he is part of a tradition | része egy hagyománynak
he is part of a culture | része egy kultúrának
he is part of a people | része egy népnek
he is part of a lineage of leaders | része egy vezetők vérvonalának
he is part of a living chain | része egy élő láncolatnak
she is part of something greater | része valami nagyobbnak
she is part of a community | része egy közösségnek
she is part of a family | része egy családnak
she is part of a story that began before her | része egy történetnek, amely előtte kezdődött
she is part of a story that will continue after her | része egy történetnek, amely utána is folytatódik
she is part of a tradition of strong women | része egy erős nők hagyományának
she is part of a culture that honors its daughters | része egy kultúrának, amely tiszteli a lányait
she is part of a people who have survived and thrived | része egy népnek, amely túlélt és virágzott
she is part of a lineage of wisdom keepers | része egy bölcsességőrzők vérvonalának
she is part of a living chain | része egy élő láncolatnak
we are part of something greater | részei vagyunk valami nagyobbnak
we are part of a community | részei vagyunk egy közösségnek
we are part of a family | részei vagyunk egy családnak
we are part of a story that began long before us | részei vagyunk egy történetnek, ami jóval előttünk kezdődött
we are part of a story that will continue after us | részei vagyunk egy történetnek, amely utánunk is folytatódik
we are part of a tradition | részei vagyunk egy hagyománynak
we are part of a culture | részei vagyunk egy kultúrának
we are part of a people | részei vagyunk egy népnek
we are part of a lineage | részei vagyunk egy vérvonalnak
we are part of a living chain | részei vagyunk egy élő láncolatnak
they are part of something greater | részei valami nagyobbnak
they are part of a community | részei egy közösségnek
they are part of a family of nations | részei egy nemzetek családjának
they are part of a story that began long before them | részei egy történetnek, ami jóval előttük kezdődött
they are part of a story that will continue after them | részei egy történetnek, amely utánuk is folytatódik
they are part of a tradition | részei egy hagyománynak
they are part of a culture | részei egy kultúrának
they are part of a people | részei egy népnek
they are part of a lineage that spans generations | részei egy generációkon átívelő vérvonalnak
they are part of a living chain | részei egy élő láncolatnak
it is part of something greater | része valami nagyobbnak
it is part of a system | része egy rendszernek
it is part of a network | része egy hálózatnak
it is part of a story of innovation | része egy innovációs történetnek
it is part of a legacy of technology | része egy technológiai örökségnek
it is part of a tradition of service | része egy szolgálati hagyománynak
it is part of a community of users | része egy felhasználói közösségnek
it is part of a lineage of progress | része egy fejlődési vonalnak
it is part of a living system | része egy élő rendszernek
it is part of everything it touches | része mindennek, amihez hozzáér
this is belonging | ez az összetartozás
this is what it means to be part of something | ezt jelenti valaminek a része lenni
this is what community feels like | így érződik a közösség
this is what family means | ezt jelenti a család
this is what tradition carries | ezt hordozza a hagyomány
this is what culture gives us | ezt adja nekünk a kultúra
this is what we protect for future generations | ezt védjük a jövő generációiért
this is what we build together | ezt építjük együtt
that is the warmth of family | az a család melegsége
that is the wisdom of tradition | az a hagyomány bölcsessége
that is the love that holds us together | az a szeretet, ami összetart minket
that is the light that guides us | az a fény, amely vezet minket
that is the home we carry in our hearts | az az otthon, amit a szívünkben hordozunk
there is belonging in community | összetartozás van a közösségben
there is love in family | szeretet van a családban
there is wisdom in tradition | bölcsesség van a hagyományban
there is beauty in culture | szépség van a kultúrában
there is purpose in being part of something greater | cél van abban, hogy valami nagyobb részei vagyunk
there is peace in knowing where we belong | béke van abban, hogy tudjuk, hová tartozunk
there is joy in sharing this journey | öröm van abban, hogy megosztjuk ezt az utazást
there is everything in belonging | minden benne van az összetartozásban
I am a keeper of stories | történetek őrzője vagyok
